# Created by:        SpecsLab Prodigy, Version 4.112.1-r117979 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Kinetic Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    no
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        no
#   Time Zone Format:         UTC
#
# Group:                        Gamma
#
# Region:                       WAM_110_4eV
# Spectrum ID:                  4
# Acquisition Date:             06/17/24 12:13:43 UTC
# Analysis Method:              UPS
# Analyzer Lens:                WideAngleMode:400V
# Analyzer Slit:                1:0.2x20\B:open
# Scan Mode:                    SnapshotFAT
# Scan Variable:                Kinetic Energy
# Curves/Scan:                  82
# Values/Curve:                 1
# Dwell Time:                   1
# Excitation Energy:            21.2182
# Kinetic Energy:               17.9405
# Pass Energy:                  20
# Bias Voltage:                 0
# Detector Voltage:             1450
# Eff. Workfunction:            4.3
# Source:                       UVS
# Comment:                      
# OrdinateRange:                [-11.682692, 11.971154]

# Cycle: 0
#
# Number of Scans: 300

# Cycle: 0, Curve: 0
#
# NonEnergyOrdinate:            -11.5385
# Acquisition Date:             06/17/24 12:13:43 UTC
# ColumnLabels:                 energy counts/s
#
17.856186  96.771764
17.872212  96.871478
17.888237  97.647122
17.90426  97.525039
17.920287  97.429375
17.93631  97.165977
17.952334  97.944505
17.968362  98.40151
17.984386  99.344102
18.00041  98.146003
18.016436  99.263431
18.032461  99.828965
18.048485  100.64461
18.06451  101.3179
18.080534  100.49182
18.096559  100.4515
18.112584  99.907402
18.128609  101.25673
18.144634  101.03316
18.160658  100.93414
18.176683  101.9262
18.192708  101.88279
18.208733  101.98885
18.224758  102.18048
18.240782  102.70437
18.256808  103.2247
18.272832  103.10514
18.288857  102.84904
18.304881  104.47963
18.320906  103.87414
18.336931  104.36277
18.352956  103.14344
18.368981  105.87104
18.385005  105.51055
18.40103  105.47469
18.417055  105.46161
18.43308  104.90337
18.449105  104.81516
18.465129  106.13203
18.481154  106.40154
18.497179  105.40697
18.513204  105.20492
18.529229  104.07414
18.545253  105.07557
18.561278  105.10051
18.577303  104.94146
18.593328  104.41946
18.609352  103.51693
18.625377  103.13617
18.641402  102.77898
18.657427  103.43783
18.673452  102.38092
18.689476  103.04574
18.705501  103.2182
18.721526  102.9163
18.73755  102.74147
18.753576  105.33758
18.7696  104.21281
18.785625  103.70747
18.80165  104.25715
18.817674  103.75449
18.833699  103.77162
18.849724  103.33898
18.865749  101.36068
18.881773  100.08635
18.897798  98.719395

# Cycle: 0, Curve: 2
#
# NonEnergyOrdinate:            -10.9615
# Acquisition Date:             06/17/24 12:13:43 UTC
# ColumnLabels:                 energy counts/s
#
16.7182  107.45442
16.734229  106.53414
16.750258  105.85087
16.766287  106.08492
16.782316  106.36137
16.798345  107.16227
16.814375  105.75702
16.830404  105.94987
16.846433  105.74712
16.862462  106.2015
16.878491  105.37232
16.89452  105.60848
16.910549  105.34999
16.926578  104.79925
